Orthogroup	Amel_filteredTranscripts	Apisu_filteredTranscripts	Brsri_filteredTranscripts	Csecu_filteredTranscripts	Dmela_filteredTranscripts	Samer_filteredTranscripts	Scanc_filteredTranscripts	Sgreg_filteredTranscripts	Sinvi_filteredTranscripts	Snite_filteredTranscripts	Spice_filteredTranscripts	Sscub_filteredTranscripts	Total
OG0000371	0	0	0	0	0	0	0	0	21	0	0	0	21
OG0000372	0	0	0	0	0	0	0	0	21	0	0	0	21
OG0000373	0	0	0	0	0	0	0	0	0	0	21	0	21
OG0000374	0	0	0	0	0	0	0	0	0	0	21	0	21
OG0000375	2	2	2	2	1	1	1	2	2	2	2	1	20
OG0000376	1	0	0	0	0	3	3	3	1	3	3	3	20
OG0000377	3	3	2	0	2	2	1	1	3	1	1	1	20
OG0000378	1	0	0	0	0	0	0	0	19	0	0	0	20
OG0000379	2	1	1	1	1	2	2	2	2	2	2	2	20
OG0000380	1	1	1	1	1	2	2	3	1	2	3	2	20
OG0000381	1	1	1	1	2	3	2	2	0	3	2	2	20
OG0000382	1	2	1	1	2	2	2	2	1	2	2	2	20
OG0000383	1	0	1	0	1	3	3	3	1	1	3	3	20
OG0000384	2	1	3	3	3	1	1	2	1	1	1	1	20
OG0000385	1	2	2	1	1	2	2	2	1	2	2	2	20
OG0000386	1	2	1	2	1	2	2	2	1	2	2	2	20
OG0000387	3	3	0	1	2	1	1	1	2	1	2	3	20
OG0000388	1	1	2	2	1	2	2	2	1	2	2	2	20
OG0000389	1	1	1	1	4	2	2	2	1	1	3	1	20
OG0000390	1	2	1	1	2	2	2	2	1	2	2	2	20
OG0000391	1	1	1	1	1	2	2	2	3	2	2	2	20
OG0000392	1	3	1	1	1	2	2	2	1	2	2	2	20
OG0000393	1	0	1	0	1	0	0	7	0	3	4	3	20
OG0000394	1	1	1	2	1	2	2	2	2	2	2	2	20
OG0000395	1	2	2	1	1	2	2	2	1	2	2	2	20
OG0000396	1	0	0	0	0	3	4	3	1	0	6	2	20
OG0000397	2	2	2	2	4	1	1	1	2	1	1	1	20
OG0000398	2	4	2	3	0	1	1	1	2	1	2	1	20
OG0000399	1	4	2	2	2	1	1	1	2	2	1	1	20
OG0000400	1	0	2	2	2	2	2	2	1	2	2	2	20
OG0000401	1	0	2	1	3	2	2	2	1	2	2	2	20
OG0000402	1	1	1	2	1	2	2	2	2	2	2	2	20
OG0000403	1	2	2	1	1	2	2	2	1	2	2	2	20
